time,count
2013-01-21 13,18690
2013-01-21 14,23428
2013-01-21 15,31207
2013-01-21 16,39260
2013-01-21 17,46738
2013-01-21 18,52842
2013-01-21 19,56590
2013-01-21 20,58624
2013-01-21 21,57156
2013-01-21 22,57108
2013-01-21 23,55283
2013-01-22 00,53739
2013-01-22 01,51457
2013-01-22 02,52357
2013-01-22 03,55612
2013-01-22 04,58217
2013-01-22 05,53960
2013-01-22 06,46638
2013-01-22 07,38418
2013-01-22 08,30875
2013-01-22 09,24087
2013-01-22 10,19808
2013-01-22 11,17822
2013-01-22 12,17970
2013-01-22 13,20868
2013-01-22 14,26840
2013-01-22 15,35929
2013-01-22 16,47810
2013-01-22 17,56469
2013-01-22 18,59304
2013-01-22 19,60306
2013-01-22 20,60920
2013-01-22 21,61801
2013-01-22 22,63299
2013-01-22 23,60657
2013-01-23 00,56588
2013-01-23 01,54889
2013-01-23 02,52700
2013-01-23 03,54179
2013-01-23 04,55088
2013-01-23 05,52343
2013-01-23 06,46983
2013-01-23 07,37942
2013-01-23 08,29877
2013-01-23 09,23540
2013-01-23 10,19557
2013-01-23 11,17643
2013-01-23 12,18006
2013-01-23 13,22181
2013-01-23 14,30523
2013-01-23 15,40488
2013-01-23 16,48614
2013-01-23 17,53468
2013-01-23 18,56153
2013-01-23 19,58536
2013-01-23 20,60005
2013-01-23 21,61379
2013-01-23 22,63418
2013-01-23 23,59114
2013-01-24 00,55634
2013-01-24 01,54093
2013-01-24 02,53329
2013-01-24 03,55031
2013-01-24 04,58232
2013-01-24 05,54381
2013-01-24 06,48159
2013-01-24 07,39000
2013-01-24 08,29665
2013-01-24 09,22642
2013-01-24 10,18067
2013-01-24 11,16101
2013-01-24 12,16693
2013-01-24 13,20481
2013-01-24 14,27775
2013-01-24 15,36761
2013-01-24 16,47043
2013-01-24 17,52485
2013-01-24 18,54863
2013-01-24 19,56904
2013-01-24 20,60660
2013-01-24 21,63940
2013-01-24 22,62912
2013-01-24 23,59207
2013-01-25 00,54925
2013-01-25 01,52549
2013-01-25 02,51685
2013-01-25 03,52710
2013-01-25 04,52640
2013-01-25 05,49693
2013-01-25 06,43919
2013-01-25 07,36496
2013-01-25 08,28983
2013-01-25 09,22737
2013-01-25 10,18143
2013-01-25 11,16254
2013-01-25 12,16692
2013-01-25 13,20163
2013-01-25 14,26881
2013-01-25 15,36749
2013-01-25 16,46359
2013-01-25 17,52643
2013-01-25 18,55337
2013-01-25 19,58256
2013-01-25 20,58454
2013-01-25 21,59078
2013-01-25 22,57567
2013-01-25 23,54655
2013-01-26 00,50495
2013-01-26 01,47063
2013-01-26 02,46158
2013-01-26 03,45947
2013-01-26 04,44944
2013-01-26 05,41894
2013-01-26 06,39712
2013-01-26 07,33794
2013-01-26 08,27750
2013-01-26 09,22499
2013-01-26 10,18411
2013-01-26 11,14599
2013-01-26 12,14800
2013-01-26 13,16086
2013-01-26 14,19600
2013-01-26 15,26183
2013-01-26 16,33056
2013-01-26 17,38493
2013-01-26 18,42340
2013-01-26 19,43999
2013-01-26 20,44103
2013-01-26 21,42804
2013-01-26 22,44357
2013-01-26 23,43747
2013-01-27 00,43507
2013-01-27 01,43660
2013-01-27 02,44088
2013-01-27 03,43476
2013-01-27 04,42866
2013-01-27 05,41418
2013-01-27 06,39527
2013-01-27 07,34772
2013-01-27 08,29527
2013-01-27 09,24245
2013-01-27 10,19490
2013-01-27 11,17101
2013-01-27 12,15556
2013-01-27 13,16351
2013-01-27 14,19870
2013-01-27 15,24630
2013-01-27 16,31283
2013-01-27 17,38974
2013-01-27 18,44235
2013-01-27 19,48057
2013-01-27 20,48920
2013-01-27 21,47782
2013-01-27 22,49936
2013-01-27 23,49539
2013-01-28 00,50001
2013-01-28 01,50674
2013-01-28 02,52430
2013-01-28 03,53789
2013-01-28 04,52373
2013-01-28 05,50390
2013-01-28 06,44798
2013-01-28 07,37872
2013-01-28 08,30369
2013-01-28 09,23401
2013-01-28 10,18926
2013-01-28 11,16654
2013-01-28 12,17351
2013-01-28 13,20330
2013-01-28 14,25446
2013-01-28 15,33050
2013-01-28 16,41078
2013-01-28 17,47966
2013-01-28 18,52213
2013-01-28 19,53732
2013-01-28 20,58406
2013-01-28 21,57982
2013-01-28 22,60664
2013-01-28 23,58511
2013-01-29 00,56723
2013-01-29 01,53390
2013-01-29 02,53717
2013-01-29 03,55947
2013-01-29 04,56290
2013-01-29 05,54428
2013-01-29 06,48063
2013-01-29 07,40235
2013-01-29 08,30610
2013-01-29 09,24011
2013-01-29 10,19577
2013-01-29 11,17408
2013-01-29 12,18255
2013-01-29 13,21701
2013-01-29 14,29556
2013-01-29 15,37967
2013-01-29 16,46024
2013-01-29 17,54416
2013-01-29 18,57861
2013-01-29 19,59067
2013-01-29 20,59129
2013-01-29 21,60835
2013-01-29 22,61529
2013-01-29 23,59842
2013-01-30 00,52717
2013-01-30 01,48450
2013-01-30 02,48939
2013-01-30 03,54902
2013-01-30 04,57832
2013-01-30 05,53472
2013-01-30 06,48176
2013-01-30 07,39007
2013-01-30 08,30542
2013-01-30 09,24304
2013-01-30 10,20005
2013-01-30 11,17553
2013-01-30 12,18127
2013-01-30 13,21576
2013-01-30 14,28350
2013-01-30 15,37551
2013-01-30 16,45926
2013-01-30 17,52615
2013-01-30 18,55158
2013-01-30 19,58443
2013-01-30 20,61185
2013-01-30 21,62230
2013-01-30 22,64177
2013-01-30 23,59765
2013-01-31 00,57165
2013-01-31 01,54104
2013-01-31 02,52980
2013-01-31 03,54023
2013-01-31 04,54796
2013-01-31 05,50924
2013-01-31 06,45197
2013-01-31 07,37023
2013-01-31 08,29658
2013-01-31 09,23217
2013-01-31 10,19527
2013-01-31 11,17314
2013-01-31 12,18197
2013-01-31 13,21391
2013-01-31 14,27973
2013-01-31 15,36541
2013-01-31 16,46395
2013-01-31 17,52135
2013-01-31 18,54152
2013-01-31 19,56293
2013-01-31 20,56786
2013-01-31 21,59295
2013-01-31 22,59528
2013-01-31 23,55851
2013-02-01 00,55468
time,count
2013-02-01 01,54166
2013-02-01 02,53087
2013-02-01 03,52634
2013-02-01 04,50391
2013-02-01 05,47553
2013-02-01 06,42818
2013-02-01 07,36047
2013-02-01 08,27973
2013-02-01 09,22092
2013-02-01 10,18512
2013-02-01 11,16826
2013-02-01 12,17388
2013-02-01 13,20885
2013-02-01 14,27306
2013-02-01 15,36413
2013-02-01 16,45593
2013-02-01 17,53230
2013-02-01 18,55925
2013-02-01 19,36572
2013-02-01 20,58975
2013-02-01 21,59991
2013-02-01 22,59176
2013-02-01 23,54346
2013-02-02 00,50068
2013-02-02 01,46760
2013-02-02 02,44014
2013-02-02 03,41369
2013-02-02 04,40664
2013-02-02 05,40008
2013-02-02 06,37447
2013-02-02 07,31779
2013-02-02 08,26844
2013-02-02 09,22735
2013-02-02 10,17964
2013-02-02 11,15111
2013-02-02 12,13894
2013-02-02 13,15061
2013-02-02 14,18593
2013-02-02 15,23458
2013-02-02 16,31875
2013-02-02 17,39426
2013-02-02 18,43830
2013-02-02 19,44470
2013-02-02 20,44383
2013-02-02 21,41714
2013-02-02 22,42151
2013-02-02 23,43208
2013-02-03 00,42731
2013-02-03 01,42730
2013-02-03 02,41688
2013-02-03 03,41562
2013-02-03 04,41812
2013-02-03 05,43203
2013-02-03 06,41208
2013-02-03 07,36697
2013-02-03 08,29596
2013-02-03 09,23527
2013-02-03 10,19398
2013-02-03 11,16398
2013-02-03 12,14901
2013-02-03 13,15577
2013-02-03 14,18508
2013-02-03 15,25021
2013-02-03 16,33265
2013-02-03 17,41688
2013-02-03 18,49326
2013-02-03 19,51920
2013-02-03 20,51336
2013-02-03 21,50888
2013-02-03 22,49177
2013-02-03 23,46859
2013-02-04 00,44047
2013-02-04 01,46005
2013-02-04 02,50592
2013-02-04 03,49300
2013-02-04 04,47575
2013-02-04 05,51086
2013-02-04 06,48072
2013-02-04 07,37201
2013-02-04 08,29482
2013-02-04 09,22427
2013-02-04 10,17887
2013-02-04 11,15176
2013-02-04 12,16270
2013-02-04 13,19240
2013-02-04 14,24542
2013-02-04 15,32955
2013-02-04 16,40606
2013-02-04 17,46845
2013-02-04 18,50534
2013-02-04 19,54773
2013-02-04 20,58054
2013-02-04 21,59732
2013-02-04 22,59368
2013-02-04 23,55325
2013-02-05 00,53029
2013-02-05 01,51792
2013-02-05 02,52718
2013-02-05 03,54500
2013-02-05 04,55377
2013-02-05 05,52244
2013-02-05 06,46928
2013-02-05 07,37806
2013-02-05 08,30429
2013-02-05 09,23639
2013-02-05 10,19542
2013-02-05 11,17646
2013-02-05 12,18206
2013-02-05 13,22132
2013-02-05 14,27931
2013-02-05 15,36822
2013-02-05 16,44856
2013-02-05 17,51331
2013-02-05 18,53490
2013-02-05 19,55092
2013-02-05 20,54228
2013-02-05 21,56300
2013-02-05 22,59972
2013-02-05 23,55339
2013-02-06 00,54968
2013-02-06 01,53200
2013-02-06 02,54608
2013-02-06 03,55300
2013-02-06 04,54248
2013-02-06 05,51968
2013-02-06 06,45834
2013-02-06 07,36039
2013-02-06 08,28517
2013-02-06 09,21684
2013-02-06 10,17544
2013-02-06 11,15354
2013-02-06 12,16161
2013-02-06 13,20219
2013-02-06 14,27783
2013-02-06 15,36896
2013-02-06 16,43102
2013-02-06 17,44782
2013-02-06 18,56679
2013-02-06 19,58733
2013-02-06 20,60108
2013-02-06 21,63949
2013-02-06 22,64791
2013-02-06 23,59875
2013-02-07 00,55222
2013-02-07 01,53381
2013-02-07 02,53127
2013-02-07 03,53875
2013-02-07 04,54355
2013-02-07 05,50828
2013-02-07 06,44257
2013-02-07 07,35741
2013-02-07 08,27466
2013-02-07 09,21663
2013-02-07 10,17435
2013-02-07 11,15473
2013-02-07 12,16636
2013-02-07 13,19919
2013-02-07 14,27481
2013-02-07 15,37208
2013-02-07 16,47280
2013-02-07 17,53456
2013-02-07 18,56883
2013-02-07 19,57851
2013-02-07 20,59670
2013-02-07 21,58488
2013-02-07 22,58173
2013-02-07 23,56415
2013-02-08 00,52636
2013-02-08 01,52376
2013-02-08 02,51687
2013-02-08 03,52859
2013-02-08 04,51682
2013-02-08 05,48598
2013-02-08 06,42645
2013-02-08 07,35139
2013-02-08 08,28765
2013-02-08 09,23205
2013-02-08 10,18449
2013-02-08 11,16209
2013-02-08 12,16475
2013-02-08 13,20563
2013-02-08 14,27085
2013-02-08 15,37352
2013-02-08 16,46654
2013-02-08 17,54320
2013-02-08 18,56419
2013-02-08 19,57954
2013-02-08 20,56394
2013-02-08 21,56389
2013-02-08 22,55092
2013-02-08 23,51066
2013-02-09 00,49241
2013-02-09 01,49273
2013-02-09 02,48435
2013-02-09 03,46660
2013-02-09 04,43721
2013-02-09 05,40208
2013-02-09 06,37105
2013-02-09 07,32371
2013-02-09 08,26360
2013-02-09 09,21580
2013-02-09 10,17536
2013-02-09 11,15148
2013-02-09 12,14479
2013-02-09 13,15358
2013-02-09 14,19007
2013-02-09 15,25691
2013-02-09 16,33033
2013-02-09 17,39414
2013-02-09 18,43346
2013-02-09 19,46842
2013-02-09 20,43966
2013-02-09 21,46347
2013-02-09 22,45500
2013-02-09 23,44014
2013-02-10 00,43453
2013-02-10 01,43184
2013-02-10 02,41922
2013-02-10 03,42750
2013-02-10 04,43152
2013-02-10 05,43090
2013-02-10 06,45352
2013-02-10 07,37224
2013-02-10 08,30940
2013-02-10 09,24887
2013-02-10 10,20340
2013-02-10 11,16904
2013-02-10 12,15497
2013-02-10 13,15696
2013-02-10 14,18797
2013-02-10 15,24261
2013-02-10 16,31325
2013-02-10 17,40568
2013-02-10 18,46747
2013-02-10 19,49517
2013-02-10 20,49812
2013-02-10 21,50170
2013-02-10 22,50359
2013-02-10 23,50271
2013-02-11 00,49069
2013-02-11 01,49514
2013-02-11 02,52089
2013-02-11 03,54216
2013-02-11 04,55855
2013-02-11 05,52258
2013-02-11 06,46583
2013-02-11 07,38595
2013-02-11 08,30753
2013-02-11 09,23880
2013-02-11 10,19023
2013-02-11 11,16893
2013-02-11 12,18650
2013-02-11 13,21077
2013-02-11 14,26280
2013-02-11 15,34726
2013-02-11 16,44918
2013-02-11 17,52395
2013-02-11 18,55638
2013-02-11 19,64490
2013-02-11 20,61774
2013-02-11 21,58643
2013-02-11 22,59403
2013-02-11 23,54455
2013-02-12 00,49573
2013-02-12 01,48520
2013-02-12 02,51165
2013-02-12 03,52820
2013-02-12 04,53722
2013-02-12 05,51255
2013-02-12 06,44356
2013-02-12 07,36300
2013-02-12 08,28562
2013-02-12 09,22291
2013-02-12 10,18289
2013-02-12 11,15720
2013-02-12 12,17509
2013-02-12 13,21146
2013-02-12 14,26900
2013-02-12 15,33778
2013-02-12 16,42680
2013-02-12 17,49487
2013-02-12 18,52645
2013-02-12 19,53205
2013-02-12 20,56584
2013-02-12 21,59035
2013-02-12 22,60406
2013-02-12 23,58532
2013-02-13 00,54618
2013-02-13 01,55921
2013-02-13 02,56406
2013-02-13 03,57230
2013-02-13 04,58564
2013-02-13 05,58567
2013-02-13 06,50190
2013-02-13 07,40188
2013-02-13 08,31101
2013-02-13 09,24418
2013-02-13 10,19546
2013-02-13 11,17655
2013-02-13 12,18236
2013-02-13 13,21845
2013-02-13 14,28631
2013-02-13 15,37417
2013-02-13 16,46055
2013-02-13 17,51876
2013-02-13 18,55027
2013-02-13 19,56505
2013-02-13 20,58751
2013-02-13 21,61304
2013-02-13 22,63780
2013-02-13 23,59695
2013-02-14 00,56334
2013-02-14 01,53241
2013-02-14 02,52666
2013-02-14 03,53168
2013-02-14 04,51175
2013-02-14 05,49639
2013-02-14 06,43477
2013-02-14 07,35364
2013-02-14 08,28802
2013-02-14 09,22795
2013-02-14 10,18890
2013-02-14 11,17712
2013-02-14 12,18381
2013-02-14 13,21855
2013-02-14 14,27494
2013-02-14 15,36547
2013-02-14 16,44798
2013-02-14 17,50582
2013-02-14 18,54132
2013-02-14 19,54403
2013-02-14 20,55403
2013-02-14 21,56376
2013-02-14 22,57520
2013-02-14 23,54614
2013-02-15 00,52545
2013-02-15 01,49133
2013-02-15 02,49361
2013-02-15 03,49555
2013-02-15 04,50219
2013-02-15 05,48432
2013-02-15 06,43014
2013-02-15 07,35208
2013-02-15 08,27536
2013-02-15 09,22287
2013-02-15 10,18408
2013-02-15 11,15524
2013-02-15 12,16146
2013-02-15 13,18164
2013-02-15 14,22897
2013-02-15 15,28184
2013-02-15 16,32315
2013-02-15 17,37226
2013-02-15 18,51411
2013-02-15 19,52456
2013-02-15 20,53480
2013-02-15 21,52867
2013-02-15 22,52004
2013-02-15 23,48420
2013-02-16 00,44975
2013-02-16 01,43022
2013-02-16 02,40891
2013-02-16 03,41292
2013-02-16 04,40029
2013-02-16 05,38740
2013-02-16 06,35335
2013-02-16 07,31323
2013-02-16 08,26432
2013-02-16 09,22088
2013-02-16 10,18329
2013-02-16 11,15582
2013-02-16 12,14677
2013-02-16 13,15153
2013-02-16 14,18282
2013-02-16 15,23703
2013-02-16 16,30678
2013-02-16 17,38522
2013-02-16 18,41921
2013-02-16 19,42957
2013-02-16 20,41778
2013-02-16 21,41227
2013-02-16 22,41000
2013-02-16 23,41644
2013-02-17 00,41569
2013-02-17 01,40873
2013-02-17 02,41648
2013-02-17 03,41417
2013-02-17 04,42088
2013-02-17 05,40258
2013-02-17 06,36765
2013-02-17 07,32353
2013-02-17 08,27638
2013-02-17 09,22890
2013-02-17 10,18594
2013-02-17 11,14187
2013-02-17 12,14656
2013-02-17 13,15437
2013-02-17 14,18781
2013-02-17 15,24362
2013-02-17 16,31355
2013-02-17 17,37512
2013-02-17 18,41217
2013-02-17 19,43889
2013-02-17 20,45207
2013-02-17 21,45685
2013-02-17 22,47866
2013-02-17 23,47273
2013-02-18 00,46537
2013-02-18 01,46059
2013-02-18 02,48386
2013-02-18 03,50190
2013-02-18 04,51600
2013-02-18 05,48657
2013-02-18 06,43325
2013-02-18 07,35824
2013-02-18 08,29741
2013-02-18 09,24260
2013-02-18 10,19855
2013-02-18 11,17227
2013-02-18 12,16732
2013-02-18 13,18472
